Lambda (nm),transmission
813,0.000399011
813.5,0.00038797
814,0.000376932
814.5,0.000388991
815,0.000401044
815.5,0.000410369
816,0.000419699
816.5,0.000438146
817,0.000456595
817.5,0.000480055
818,0.000503486
818.5,0.000511655
819,0.000519829
819.5,0.000522101
820,0.000524373
820.5,0.000548084
821,0.000571769
821.5,0.000591346
822,0.000610954
822.5,0.000647836
823,0.000684674
823.5,0.000701452
824,0.000718237
824.5,0.000738917
825,0.00075958
825.5,0.000778575
826,0.000797561
826.5,0.000835494
827,0.000873417
827.5,0.000965149
828,0.00105685
828.5,0.00118915
829,0.00132146
829.5,0.00150803
830,0.00169457
830.5,0.00197485
831,0.00225493
831.5,0.00266714
832,0.00307926
832.5,0.00361516
833,0.00415072
833.5,0.00475734
834,0.00536321
834.5,0.00597271
835,0.0065826
835.5,0.00719196
836,0.00780071
836.5,0.00836889
837,0.00893703
837.5,0.00943566
838,0.00993403
838.5,0.0103214
839,0.0107087
839.5,0.0109898
840,0.0112706
840.5,0.011406
841,0.0115414
841.5,0.0114619
842,0.0113823
842.5,0.0110365
843,0.0106912
843.5,0.0101885
844,0.00968657
844.5,0.0091432
845,0.00859954
845.5,0.008046
846,0.00749305
846.5,0.00690792
847,0.00632332
847.5,0.00576687
848,0.00521073
848.5,0.00467832
849,0.00414637
849.5,0.00363701
850,0.00312735
850.5,0.00271398
851,0.00230077
851.5,0.00201571
852,0.00173085
852.5,0.00155011
853,0.0013697
853.5,0.00131226
854,0.00125484
854.5,0.00124979
855,0.00124474
855.5,0.00126812
856,0.00129147
856.5,0.00140322
857,0.00151489
857.5,0.00170387
858,0.00189283
858.5,0.00216586
859,0.00243845
859.5,0.00288014
860,0.00332149
860.5,0.00384876
861,0.00437614
861.5,0.00492425
862,0.00547198
862.5,0.00601186
863,0.00655113
863.5,0.00704095
864,0.00753066
864.5,0.00795258
865,0.00837419
865.5,0.0087547
866,0.00913459
866.5,0.00935883
867,0.00958315
867.5,0.00958922
868,0.00959528
868.5,0.00931279
869,0.00903037
869.5,0.00858289
870,0.00813595
870.5,0.00762711
871,0.00711864
871.5,0.00659942
872,0.00608038
872.5,0.00562312
873,0.00516607
873.5,0.00473073
874,0.00429616
874.5,0.0039334
875,0.00357036
875.5,0.00332871
876,0.00308755
876.5,0.0029784
877,0.00286929
877.5,0.00277066
878,0.00267211
878.5,0.00254491
879,0.0024178
879.5,0.00225426
880,0.00209058
880.5,0.00193411
881,0.00177789
881.5,0.00165153
882,0.00152516
882.5,0.00143034
883,0.00133564
883.5,0.00130203
884,0.00126846
884.5,0.00129241
885,0.00131633
885.5,0.00137857
886,0.00144086
886.5,0.0015321
887,0.00162309
887.5,0.00171114
888,0.00179928
888.5,0.00183614
889,0.00187297
889.5,0.00189254
890,0.00191211
890.5,0.00185863
891,0.0018052
891.5,0.00175753
892,0.00170991
892.5,0.00164383
893,0.00157777
893.5,0.00152881
894,0.00147989
894.5,0.00148637
895,0.00149285
895.5,0.00157902
896,0.00166516
896.5,0.00180319
897,0.00194107
897.5,0.00216559
898,0.00239011
898.5,0.00265898
899,0.00292818
899.5,0.00323916
900,0.00354963
900.5,0.00387258
901,0.00419509
901.5,0.00456266
902,0.00492987
902.5,0.00529684
903,0.00566423
903.5,0.00597567
904,0.00628667
904.5,0.00652814
905,0.00676971
905.5,0.00681577
906,0.00686182
906.5,0.00670543
907,0.00654927
907.5,0.00612841
908,0.00570769
908.5,0.00516661
909,0.00462578
909.5,0.0040229
910,0.00342015
910.5,0.00288487
911,0.00234987
911.5,0.00198026
912,0.00161064
912.5,0.00139786
913,0.00118527
913.5,0.00111426
914,0.00104328
914.5,0.00106859
915,0.00109387
915.5,0.00123279
916,0.00137177
916.5,0.0015791
917,0.00178638
917.5,0.00200614
918,0.00222588
918.5,0.00243227
919,0.00263837
919.5,0.00275527
920,0.00287213
920.5,0.00282799
921,0.00278382
921.5,0.00261274
922,0.00244184
922.5,0.00222114
923,0.00200034
923.5,0.00179429
924,0.00158859
924.5,0.00146721
925,0.00134581
925.5,0.00133301
926,0.00132021
926.5,0.00140242
927,0.00148467
927.5,0.00163922
928,0.00179383
928.5,0.001987
929,0.00218031
929.5,0.00228896
930,0.00239758
930.5,0.00241198
931,0.00242637
931.5,0.00226996
932,0.00211362
932.5,0.0018768
933,0.00164004
933.5,0.00139833
934,0.00115654
934.5,0.000977732
935,0.000798728
935.5,0.000672262
936,0.000545899
936.5,0.000494757
937,0.000443607
937.5,0.000425643
938,0.000407688
938.5,0.000412415
939,0.000417148
939.5,0.000419571
940,0.000421995
940.5,0.000483965
941,0.000545889
941.5,0.000648874
942,0.000751845
942.5,0.00089705
943,0.00104233
943.5,0.0013168
944,0.00159121
944.5,0.00202348
945,0.00245548
945.5,0.00305525
946,0.00365684
946.5,0.00437723
947,0.00509727
947.5,0.00591823
948,0.00673867
948.5,0.0074497
949,0.00816048
949.5,0.00871083
950,0.00926165
950.5,0.00955626
951,0.00985112
951.5,0.00979557
952,0.00973994
952.5,0.00930204
953,0.00886457
953.5,0.0081324
954,0.00740054
954.5,0.00657362
955,0.00574681
955.5,0.00499091
956,0.00423512
956.5,0.00366414
957,0.00309339
957.5,0.00273242
958,0.0023709
958.5,0.00216836
959,0.00196582
959.5,0.00184841
960,0.00173104
960.5,0.00173162
961,0.00173219
961.5,0.00181949
962,0.00190681
962.5,0.00212568
963,0.0023447
963.5,0.00282852
964,0.00331172
964.5,0.00424274
965,0.00517438
965.5,0.00673061
966,0.00828707
966.5,0.0101843
967,0.0120809
967.5,0.013316001
968,0.0145532
968.5,0.014329101
969,0.0141055
969.5,0.012628701
970,0.0111522
970.5,0.00941437
971,0.00767364
971.5,0.0064167
972,0.00516189
972.5,0.00446504
973,0.00376866
973.5,0.00344369
974,0.00311848
974.5,0.00298127
975,0.00284403
975.5,0.00282956
976,0.00281508
976.5,0.00288853
977,0.00296189
977.5,0.00314002
978,0.00331822
978.5,0.0036147
979,0.003911
979.5,0.00433726
980,0.00476372
980.5,0.00531581
981,0.00586733
981.5,0.00647685
982,0.0070865
982.5,0.00759874
983,0.00811136
983.5,0.00823286
984,0.00835424
984.5,0.0080216
985,0.00768882
985.5,0.00697953
986,0.00627141
986.5,0.00547488
987,0.00467704
987.5,0.00401353
988,0.00335102
988.5,0.00287568
989,0.00240013
989.5,0.00207942
990,0.00175898
990.5,0.00155755
991,0.00135594
991.5,0.0012316
992,0.00110719
992.5,0.00104355
993,0.000979901
993.5,0.00094324
994,0.000906619
994.5,0.000892894
995,0.000879197
995.5,0.000909489
996,0.000939874
996.5,0.000993427
997,0.00104686
997.5,0.00118387
998,0.00132089
998.5,0.00153988
999,0.00175868
999.5,0.00213473
1000,0.00251138
1000.5,0.0030462
1001,0.00358023
1001.5,0.00422631
1002,0.0048726
1002.5,0.00525975
1003,0.00564666
