Lambda (nm),transmission
771.5,10.81300005
772,10.71399972
772.5,10.69499999
773,10.60540006
773.5,10.53310037
774,10.47450006
774.5,10.41079983
775,10.36769971
775.5,10.33549979
776,10.25699973
776.5,10.22929996
777,10.17130017
777.5,10.14949977
778,10.0936003
778.5,9.996309876
779,9.969189763
779.5,9.868360311
780,9.802679718
780.5,9.681739658
781,9.539960325
781.5,9.459839761
782,9.364569932
782.5,9.230849892
783,9.066189826
783.5,8.944410086
784,8.786980063
784.5,8.64655003
785,8.46818015
785.5,8.322379738
786,8.1892699
786.5,7.982079685
787,7.840400189
787.5,7.697600126
788,7.512979954
788.5,7.375130057
789,7.210019976
789.5,7.002709806
790,6.854630262
790.5,6.732600182
791,6.529910117
791.5,6.387969851
792,6.220509857
792.5,6.081090122
793,5.922589824
793.5,5.787879974
794,5.63609004
794.5,5.48476018
795,5.337420106
795.5,5.199880153
796,5.059180036
796.5,4.933540151
797,4.816490039
797.5,4.731050134
798,4.571229964
798.5,4.458739981
799,4.350459948
799.5,4.248119891
800,4.059749842
800.5,3.969519958
801,3.87879014
801.5,3.784419969
802,3.702419996
802.5,3.623349965
803,3.543350101
803.5,3.467750177
804,3.394459933
804.5,3.321219981
805,3.253800049
805.5,3.190270066
806,3.125499934
806.5,3.065739945
807,3.005779907
807.5,2.950089984
808,2.890890092
808.5,2.838560008
809,2.783380076
809.5,2.729010023
810,2.678140067
810.5,2.626949921
811,2.574669942
811.5,2.52698008
812,2.480299957
812.5,2.434059978
813,2.390100062
813.5,2.346380055
814,2.300499938
814.5,2.259100042
815,2.218849957
815.5,2.180160023
816,2.140690014
816.5,2.104040049
817,2.066509984
817.5,2.029520087
818,1.997050084
818.5,1.964779943
819,1.931509934
819.5,1.901529916
820,1.870590076
820.5,1.841489971
821,1.815669984
821.5,1.788620092
822,1.763720065
822.5,1.741190068
823,1.717160083
823.5,1.694080047
824,1.672679931
824.5,1.65203996
825,1.63173005
825.5,1.611340046
826,1.592320018
826.5,1.57325007
827,1.553320047
827.5,1.535470039
828,1.51701998
828.5,1.497870032
829,1.479240041
829.5,1.462380029
830,1.441519987
830.5,1.424069982
831,1.405039988
831.5,1.387329958
832,1.369220018
832.5,1.350209955
833,1.329219993
833.5,1.310629956
834,1.291349996
834.5,1.271599997
835,1.251950022
835.5,1.232580002
836,1.21235
836.5,1.192799956
837,1.173609961
837.5,1.153020002
838,1.133839972
838.5,1.113220025
839,1.09294001
839.5,1.073169988
840,1.052880008
840.5,1.033790037
841,1.013789978
841.5,0.994853023
842,0.974971987
842.5,0.954455044
843,0.93473997
843.5,0.915376004
844,0.896324031
844.5,0.877210964
845,0.858690962
845.5,0.839428976
846,0.820359029
846.5,0.802171044
847,0.783678982
847.5,0.766625023
848,0.750011019
848.5,0.732500991
849,0.715138018
849.5,0.699289003
850,0.68359701
850.5,0.668072002
851,0.652595982
851.5,0.637935009
852,0.622902019
852.5,0.609291997
853,0.59608398
853.5,0.582754984
854,0.57041198
854.5,0.558107998
855,0.545714982
855.5,0.534167001
856,0.523175998
856.5,0.512837991
857,0.502137979
857.5,0.493060984
858,0.483134994
858.5,0.473544979
859,0.464418018
859.5,0.456152996
860,0.448002992
860.5,0.440130988
861,0.432628999
861.5,0.425675977
862,0.418986985
862.5,0.412731012
863,0.406462979
863.5,0.400740001
864,0.395287992
864.5,0.389798009
865,0.384710007
865.5,0.379984989
866,0.374954008
866.5,0.370301004
867,0.365960994
867.5,0.361459004
868,0.356642995
868.5,0.352378003
869,0.347618992
869.5,0.342780002
870,0.338135008
870.5,0.333488989
871,0.328521989
871.5,0.323792989
872,0.318946992
872.5,0.314009003
873,0.309044006
873.5,0.304316008
874,0.299081998
874.5,0.294171995
875,0.289688003
875.5,0.284824008
876,0.280274008
876.5,0.275997003
877,0.271366001
877.5,0.266906992
878,0.262993993
878.5,0.258948002
879,0.254865992
879.5,0.251332996
880,0.247528008
880.5,0.243737991
881,0.240226998
881.5,0.236856006
882,0.233343011
882.5,0.229818001
883,0.226439
883.5,0.222858996
884,0.219263998
884.5,0.215843995
885,0.212111999
885.5,0.208322005
886,0.204545003
886.5,0.200582994
887,0.196723989
887.5,0.192654005
888,0.188909005
888.5,0.184857997
889,0.180948002
889.5,0.177074003
890,0.173171004
890.5,0.169492001
891,0.165969995
891.5,0.162533997
892,0.159243995
892.5,0.156180002
893,0.153067999
893.5,0.150220003
894,0.147808006
894.5,0.145403005
895,0.143118994
895.5,0.141161995
896,0.139101001
896.5,0.137242
897,0.135837996
897.5,0.134361
898,0.132946996
898.5,0.131753995
899,0.130583998
899.5,0.129328005
900,0.128345005
900.5,0.127319002
901,0.126305001
901.5,0.125287997
902,0.124304998
902.5,0.123196002
903,0.122139999
903.5,0.121052004
904,0.119942997
904.5,0.118748005
905,0.117523002
905.5,0.116233004
906,0.114817999
906.5,0.113550003
907,0.112258003
907.5,0.110823999
908,0.109474
908.5,0.108089997
909,0.106713001
909.5,0.105492002
910,0.104112003
910.5,0.102860003
911,0.101581996
911.5,0.100366003
912,0.099225901
912.5,0.098179094
913,0.097206002
913.5,0.096259703
914,0.0953927
914.5,0.094632403
915,0.093879597
915.5,0.093215797
916,0.092614902
916.5,0.092033797
917,0.091489602
917.5,0.091017998
918,0.090594799
918.5,0.090117002
919,0.0896641
919.5,0.089178298
920,0.088791898
920.5,0.088301097
921,0.087771198
921.5,0.087270897
922,0.086470001
922.5,0.085795898
923,0.084929599
923.5,0.084079098
924,0.0831577
924.5,0.082068198
925,0.080920698
925.5,0.079786399
926,0.078534702
926.5,0.077207602
927,0.075913698
927.5,0.074348901
928,0.072812301
928.5,0.0713557
929,0.069842802
929.5,0.068249297
930,0.066823902
930.5,0.065276597
931,0.063753902
931.5,0.062430301
932,0.061038201
932.5,0.059682399
933,0.0584858
933.5,0.057331199
934,0.056152901
934.5,0.055131898
935,0.054185698
935.5,0.053341
936,0.052480202
936.5,0.051739602
937,0.050996197
937.5,0.050385803
938,0.049764401
938.5,0.049211603
939,0.0486376
939.5,0.0481539
940,0.047638701
940.5,0.047124099
941,0.0466553
941.5,0.046157901
942,0.0455884
942.5,0.045003599
943,0.044379101
943.5,0.0437446
944,0.0430379
944.5,0.0423055
945,0.041615599
945.5,0.040746399
946,0.0399849
946.5,0.0391048
947,0.038161699
947.5,0.0373485
948,0.036457201
948.5,0.035569101
949,0.034702601
949.5,0.033862001
950,0.033012099
950.5,0.032245199
951,0.0315799
951.5,0.0308738
952,0.030268301
952.5,0.0297116
953,0.0292012
953.5,0.028740501
954,0.028403601
954.5,0.0281007
955,0.0279053
955.5,0.027712801
956,0.027623799
956.5,0.0275792
957,0.027638301
957.5,0.027746701
958,0.027937899
958.5,0.0280862
959,0.028404599
959.5,0.028710099
960,0.0291095
960.5,0.02949
961,0.029904
961.5,0.0303295
962,0.030738401
962.5,0.031199001
963,0.031624699
963.5,0.031950799
964,0.032208499
964.5,0.032444901
965,0.032558999
965.5,0.032630999
966,0.0325865
966.5,0.0324147
967,0.0321267
967.5,0.031761901
968,0.0313228
968.5,0.030798299
969,0.0301575
969.5,0.0294745
970,0.028751499
970.5,0.0280448
971,0.0273299
971.5,0.026584
972,0.025792699
972.5,0.0250807
973,0.0244355
973.5,0.0238134
974,0.0232587
974.5,0.022706301
975,0.0222542
975.5,0.0218442
976,0.021499999
976.5,0.0212206
977,0.0209929
977.5,0.020819499
978,0.020715701
978.5,0.020677999
979,0.0206749
979.5,0.0207344
980,0.0208553
980.5,0.0210326
981,0.0212482
981.5,0.021512499
982,0.0217726
982.5,0.0221272
983,0.022471399
983.5,0.022808999
984,0.0231509
984.5,0.0235026
985,0.0238997
985.5,0.0241762
986,0.024421801
986.5,0.024578601
987,0.0247032
987.5,0.024749499
988,0.024705299
988.5,0.024527099
989,0.024289401
989.5,0.0239563
990,0.0235321
990.5,0.023022199
991,0.0223895
991.5,0.021775599
992,0.0211501
992.5,0.0204392
993,0.0197046
993.5,0.0190042
994,0.018290999
994.5,0.017597299
995,0.0169345
995.5,0.016315001
996,0.0157264
996.5,0.015201799
997,0.0146652
997.5,0.0141738
998,0.0137729
998.5,0.0133813
999,0.0130345
999.5,0.0127205
1000,0.012454799
1000.5,0.012228001
1001,0.0120489
1001.5,0.0118592
1002,0.0117452
1002.5,0.0116371
1003,0.0115742
1003.5,0.0115165
1004,0.0114815
1004.5,0.0114927
1005,0.0114957
1005.5,0.0115373
1006,0.0115886
1006.5,0.0116601
1007,0.0117082
1007.5,0.0117688
1008,0.0118244
1008.5,0.0119288
1009,0.011966
1009.5,0.0119529
1010,0.0119644
1010.5,0.0119684
1011,0.0119177
1011.5,0.0118464
1012,0.011718
1012.5,0.0115744
1013,0.0113673
1013.5,0.0111346
1014,0.0109013
1014.5,0.0106165
1015,0.0102786
1015.5,0.00997335
1016,0.00961283
1016.5,0.00926007
1017,0.00888721
1017.5,0.00855158
1018,0.00820191
1018.5,0.00788015
1019,0.00754863
1019.5,0.00724135
1020,0.00694959
1020.5,0.00669553
1021,0.00643579
1021.5,0.00621775
1022,0.00599841
1022.5,0.00583724
1023,0.005664
1023.5,0.00553603
1024,0.00543899
1024.5,0.00531844
1025,0.00525414
1025.5,0.00520186
1026,0.00516941
1026.5,0.00513396
1027,0.00516655
1027.5,0.0051888
1028,0.00524984
1028.5,0.00534614
1029,0.00547358
1029.5,0.00560461
1030,0.00576641
1030.5,0.00599487
1031,0.00624776
1031.5,0.00653021
1032,0.00685715
1032.5,0.00723175
1033,0.00763775
