l (nm),transmission
697,2.7966100627787794e-06
698,2.8690238861920774e-06
699,2.843228285454818e-06
700,2.974346864483534e-06
701,3.017121926276326e-06
702,3.17383149882423e-06
703,3.388287729399025e-06
704,3.53754206687792e-06
705,3.86799510672976e-06
706,4.093771564054197e-06
707,4.462488870643569e-06
708,4.780587328538871e-06
709,4.996219073477123e-06
710,5.078568352489121e-06
711,5.09280304567088e-06
712,4.93036873800722e-06
713,4.475646125613583e-06
714,4.139847583276402e-06
715,3.7191706334343327e-06
716,3.195456523250941e-06
717,2.788357958283881e-06
718,2.47997959206732e-06
719,2.1236271986911984e-06
720,1.9261665873064967e-06
721,1.7116584049675329e-06
722,1.5594888823361166e-06
723,1.4541306883427423e-06
724,1.3978593058802867e-06
725,1.2694703767151145e-06
726,1.258666890098453e-06
727,1.209186375157645e-06
728,1.1954252834564368e-06
729,1.1993563393686247e-06
730,1.305123149511777e-06
731,1.3819523158447756e-06
732,1.547975696863427e-06
733,1.6584876008332037e-06
734,1.8853144144379471e-06
735,2.051401241435582e-06
736,2.13512743507718e-06
737,2.1481950523672407e-06
738,2.004788691901866e-06
739,1.7247658990365457e-06
740,1.3968646823559403e-06
741,1.025859963914453e-06
742,8.450000000978828e-07
743,6.230000004889244e-07
744,4.359999997303595e-07
745,3.600000001929029e-07
746,3.0599999966068274e-07
747,2.2899999982077992e-07
748,2.1200000003477964e-07
749,1.7200000003661478e-07
750,1.7099999984559263e-07
751,1.3300000001007973e-07
752,1.60000000126762e-07
753,1.0399999992845145e-07
754,1.549999999392227e-07
755,1.400000001037239e-07
756,1.7500000012640838e-07
757,2.5099999972198463e-07
758,3.780000001416752e-07
759,5.540000003464235e-07
760,6.500000005345314e-07
761,5.94000000025722e-07
762,2.939999997209862e-07
763,1.4700000008523733e-07
764,4.7300000028555545e-08
765,3.3599999969838986e-08
766,3.3599999969838986e-08
767,1.9899999981226666e-08
768,9.239999995317051e-09
769,1.1169999997026539e-08
770,1.1169999997026539e-08
771,1.1169999997026539e-08
772,1.1169999997026539e-08
773,1.1169999997026539e-08
774,1.1169999997026539e-08
775,1.1169999997026539e-08
776,1.1169999997026539e-08
777,1.1169999997026539e-08
778,1.1169999997026539e-08
779,1.1169999997026539e-08
780,1.1169999997026539e-08
781,1.1169999997026539e-08
782,1.1169999997026539e-08
783,1.1169999997026539e-08
784,1.1169999997026539e-08
785,1.1169999997026539e-08
786,1.1169999997026539e-08
787,1.1169999997026539e-08
788,1.1169999997026539e-08
789,1.1169999997026539e-08
790,1.3100000010383486e-08
791,1.654999999574194e-08
792,1.654999999574194e-08
793,1.654999999574194e-08
794,1.654999999574194e-08
795,1.654999999574194e-08
796,1.654999999574194e-08
797,2.0000000015474217e-08
798,1.1499999990636447e-08
799,3.830000000276717e-08
800,3.830000000276717e-08
801,3.830000000276717e-08
802,3.830000000276717e-08
803,3.830000000276717e-08
804,3.830000000276717e-08
805,6.51000000647273e-08
806,8.280000004101352e-08
807,1.2099999991183291e-08
808,1.315000000527531e-08
809,1.315000000527531e-08
810,1.315000000527531e-08
811,1.315000000527531e-08
812,1.41999999874753e-08
813,2.9000000006747215e-08
814,2.9000000006747215e-08
815,2.9000000006747215e-08
816,2.9000000006747215e-08
817,2.9000000006747215e-08
818,2.9000000006747215e-08
819,4.380000005001316e-08
820,1.6999999985192858e-08
821,2.9699999978306885e-08
822,7.835000003525008e-08
823,7.835000003525008e-08
824,1.2700000001287952e-07
825,6.209999997475075e-08
826,6.600000006962245e-08
827,6.600000006962245e-08
828,6.990000004093273e-08
829,3.9660000011937095e-08
830,9.420000004492566e-09
831,5.750000004109251e-08
832,4.370000000297625e-08
833,2.9899999977663877e-08
834,3.1850000024100904e-08
835,3.1850000024100904e-08
836,3.379999997839085e-08
837,4.2150000003808284e-08
838,5.049999998620203e-08
839,7.874999991629176e-08
840,1.0700000007755691e-07
841,8.575000005631013e-08
842,8.575000005631013e-08
843,6.45000000541688e-08
844,6.419999998982173e-08
845,6.38999999766938e-08
846,4.75000000410294e-08
847,1.199999999868408e-07
848,8.915000010030298e-08
849,8.915000010030298e-08
850,8.915000010030298e-08
851,5.830000003235018e-08
852,2.9284999975456466e-08
853,2.9284999975456466e-08
854,2.9284999975456466e-08
855,2.9284999975456466e-08
856,2.9284999975456466e-08
857,2.699999999011581e-10
858,3.358500002824864e-08
859,6.690000003576525e-08
860,5.590000001461895e-08
861,6.460000000073128e-08
862,5.6400000002163265e-08
863,5.6400000002163265e-08
864,5.6400000002163265e-08
865,5.6400000002163265e-08
866,5.6400000002163265e-08
867,5.6400000002163265e-08
868,5.6400000002163265e-08
869,5.6400000002163265e-08
870,5.6400000002163265e-08
871,5.6400000002163265e-08
872,4.819999997349135e-08
873,1.9200000013105969e-07
874,1.1195000002189826e-07
875,1.1195000002189826e-07
876,3.189999999579991e-08
877,4.4949999992832767e-08
878,5.800000005836966e-08
879,7.795000008528107e-08
880,7.795000008528107e-08
881,9.790000004437723e-08
882,6.019999996426155e-08
883,2.2499999994230524e-08
884,4.9749999990635944e-08
885,4.9749999990635944e-08
886,7.69999999694191e-08
887,3.881999999532113e-08
888,3.881999999532113e-08
889,3.881999999532113e-08
890,6.40000000023746e-10
891,5.4200000057609315e-09
892,5.4200000057609315e-09
893,5.4200000057609315e-09
894,1.0200000005591702e-08
895,1.4349999997686671e-08
896,1.8499999982832492e-08
897,2.0250000020950238e-08
898,2.0250000020950238e-08
899,2.2000000009006496e-08
900,6.849999992233111e-08
901,1.1499999990636448e-07
902,5.864500005121003e-08
903,2.2899999982077947e-09
904,7.419999995232769e-08
905,2.950000000148332e-08
906,2.8599999991502018e-08
907,2.474999998463649e-08
908,2.089999999465563e-08
909,4.609999995863914e-08
910,7.130000002431989e-08
911,3.940000001582428e-08
912,3.529999996847731e-08
913,3.529999996847731e-08
914,3.1199999998675076e-08
915,2.839999999692405e-08
916,2.839999999692405e-08
917,2.5599999981617656e-08
918,1.3985000009417488e-08
919,2.3699999999448646e-09
920,3.813500002417098e-08
921,7.389999993281597e-08
922,3.1199999998675076e-08
923,3.80000000335284e-08
924,1.2599999996589187e-08
925,1.769999998525429e-08
926,1.769999998525429e-08
927,1.769999998525429e-08
