Lambda (nm),transmission
587.5,27.78019905
588,26.75130069
588.5,25.9164989
589,25.20520091
589.5,24.67689961
590,24.25969988
590.5,23.96440059
591,23.79560024
591.5,23.68710041
592,23.46760035
592.5,23.16910028
593,22.73219973
593.5,22.07709998
594,21.29389942
594.5,20.35340071
595,19.4167003
595.5,18.48099977
596,17.57670045
596.5,16.81330055
597,16.1364004
597.5,15.61190039
598,15.19169956
598.5,14.87260014
599,14.62309957
599.5,14.39370066
600,14.17569965
600.5,13.9519006
601,13.71140033
601.5,13.45169991
602,13.16789985
602.5,12.90030032
603,12.65109926
603.5,12.47769967
604,12.28850037
604.5,12.20259964
605,12.14210019
605.5,12.11979985
606,12.06689999
606.5,11.95140034
607,11.74020022
607.5,11.38600037
608,10.89859977
608.5,10.28890014
609,9.593740106
609.5,8.867909759
610,8.17122981
610.5,7.488980144
611,6.920550019
611.5,6.430029869
612,6.023700163
612.5,5.701639876
613,5.439740047
613.5,5.242399871
614,5.078430101
614.5,4.954459891
615,4.833310097
615.5,4.724070057
616,4.609449953
616.5,4.472719878
617,4.308329895
617.5,4.121699929
618,3.923369944
618.5,3.707069904
619,3.496269882
619.5,3.287139907
620,3.08918003
620.5,2.895749919
621,2.729340084
621.5,2.564590052
622,2.416810021
622.5,2.284899913
623,2.156060003
623.5,2.041259967
624,1.926550083
624.5,1.818539947
625,1.713800058
625.5,1.616269909
626,1.519669965
626.5,1.431810018
627,1.345149986
627.5,1.266129967
628,1.193130016
628.5,1.126930024
629,1.067870017
629.5,1.013099961
630,0.967012998
630.5,0.924387015
631,0.884430017
631.5,0.852796994
632,0.822435971
632.5,0.794829987
633,0.77060801
633.5,0.748727005
634,0.726538012
634.5,0.706523005
635,0.686432002
635.5,0.665464997
636,0.645428011
636.5,0.622673007
637,0.600153022
637.5,0.574987009
638,0.551467016
638.5,0.525663001
639,0.498519978
639.5,0.47310302
640,0.446640979
640.5,0.41888901
641,0.392549997
641.5,0.366865005
642,0.343286991
642.5,0.318826991
643,0.296662003
643.5,0.274754991
644,0.254450995
644.5,0.235135993
645,0.217968994
645.5,0.200779992
646,0.185023004
646.5,0.170905003
647,0.157039997
647.5,0.145665999
648,0.134115003
648.5,0.123775995
649,0.114734995
649.5,0.106683001
650,0.098907796
650.5,0.092065899
651,0.086323498
651.5,0.080841401
652,0.076005497
652.5,0.071702502
653,0.067937199
653.5,0.064397801
654,0.061052101
654.5,0.057994202
655,0.055266498
655.5,0.052851799
656,0.050338003
656.5,0.048028899
657,0.0459387
657.5,0.043744501
658,0.041873899
658.5,0.039601899
659,0.037799301
659.5,0.035612099
660,0.0335644
660.5,0.031814401
661,0.029873601
661.5,0.028100601
662,0.026368699
662.5,0.024780401
663,0.0230641
663.5,0.0216153
664,0.0203533
664.5,0.0189288
665,0.0178022
665.5,0.0168913
666,0.015808801
666.5,0.014767599
667,0.013944
667.5,0.013209099
668,0.012384501
668.5,0.0115398
669,0.0107992
669.5,0.0100564
670,0.00948324
670.5,0.00858103
671,0.00789274
671.5,0.00713669
672,0.00659964
672.5,0.00594223
673,0.0053793
673.5,0.00482596
674,0.00429731
674.5,0.00398907
675,0.00360265
675.5,0.00330028
676,0.00297352
676.5,0.00278021
677,0.00258969
677.5,0.00243267
678,0.00225131
678.5,0.00218414
679,0.00199809
679.5,0.00191699
680,0.00178625
680.5,0.00163392
681,0.00151946
681.5,0.00142486
682,0.0013081
682.5,0.001203
683,0.0010437
683.5,0.000942432
684,0.000861872
684.5,0.000743484
685,0.000672759
685.5,0.000591029
686,0.00052717
686.5,0.000486152
687,0.000437915
687.5,0.000386245
688,0.000365971
688.5,0.000335492
689,0.000318391
689.5,0.000301287
690,0.000306341
690.5,0.000270222
691,0.000286427
691.5,0.00029335
692,0.000287265
692.5,0.000261143
693,0.000285232
693.5,0.00027698
694,0.000315195
694.5,0.000324007
695,0.000333978
695.5,0.000328018
696,0.000367964
696.5,0.000377029
697,0.000375765
697.5,0.000387977
698,0.000382534
698.5,0.000402105
699,0.000351007
699.5,0.000358444
700,0.000330237
700.5,0.000295392
701,0.000273659
701.5,0.000281538
702,0.000269383
702.5,0.000237289
703,0.000249833
703.5,0.000228634
704,0.000246521
704.5,0.00021834
705,0.000233778
705.5,0.000219123
706,0.000252499
706.5,0.000248387
707,0.000250027
707.5,0.000248195
708,0.000302284
708.5,0.00029366
709,0.000289724
709.5,0.000285124
710,0.000295029
710.5,0.000306681
711,0.000316099
711.5,0.000287628
712,0.000250441
712.5,0.000235464
713,0.000235276
713.5,0.000182044
714,0.000177887
714.5,0.000171507
715,0.000133658
715.5,0.00015608
716,0.000139019
716.5,0.000185745
717,0.000162356
717.5,0.000168866
718,0.000174463
718.5,0.000184509
719,0.000216995
719.5,0.000211227
720,0.000244217
720.5,0.000260692
721,0.000319472
721.5,0.000347299
722,0.00040513
722.5,0.000403739
723,0.00045962
723.5,0.000398042
724,0.000393824
724.5,0.000370285
725,0.00028471
725.5,0.000246501
726,0.00022239
726.5,0.000227829
727,0.000177713
727.5,0.000152763
728,0.000151497
728.5,0.000128612
729,0.00015606
729.5,0.000133519
730,0.000108043
730.5,0.000119956
731,0.000119097
731.5,0.000120128
732,0.000153891
732.5,0.000144582
733,0.000139665
733.5,0.00016573
734,0.000173119
734.5,0.000224499
735,0.000235652
735.5,0.000322107
736,0.000342647
736.5,0.000406485
737,0.00049185
737.5,0.000525111
738,0.000568666
738.5,0.000500172
739,0.000434091
739.5,0.000356425
740,0.000352653
740.5,0.000286571
741,0.000219804
741.5,0.00021001
742,0.00020387
742.5,0.000141006
743,0.000167865
743.5,0.000151792
744,0.000178656
744.5,0.000142446
745,0.000180803
745.5,0.000119139
746,0.000146178
746.5,0.000156304
747,0.000155134
747.5,0.000189861
748,0.00016624
748.5,0.000197421
749,0.000221527
749.5,0.000289592
750,0.000315343
750.5,0.000329577
751,0.000339967
751.5,0.000437154
752,0.000504539
752.5,0.000545156
753,0.000552226
753.5,0.000557957
754,0.00052617
754.5,0.000516653
755,0.000467038
755.5,0.000338222
756,0.000360248
756.5,0.000284266
757,0.000237069
757.5,0.000215405
758,0.000201921
758.5,0.000200374
759,0.00015386
759.5,0.000111608
760,0.000167952
760.5,0.000130454
761,0.000122676
761.5,0.000150171
762,0.000122652
762.5,0.00011232
763,0.000117203
763.5,0.000139227
764,9.5E-05
764.5,9.5E-05
765,9.72559E-05
765.5,9.5E-05
766,0.000106093
766.5,9.91801E-05
767,0.000118108
767.5,9.5E-05
768,0.000133875
768.5,0.00012698
769,9.83967E-05
769.5,0.000136222
770,0.000106778
770.5,0.000118988
771,0.000124626
771.5,0.000139737
772,0.000124556
772.5,0.000134182
773,0.000153552
773.5,0.000186723
774,0.00017573
774.5,0.00025423
775,0.000210125
775.5,0.000232643
776,0.000266031
776.5,0.000220957
777,0.000221048
777.5,0.00029917
778,0.000207689
778.5,0.000287836
779,0.000182616
779.5,0.000242756
780,0.000211493
780.5,0.000178898
781,0.000164971
781.5,0.000129756
782,0.000164666
782.5,0.000129243
783,0.000168789
783.5,0.000143989
784,0.000140635
784.5,0.000124783
785,0.000162955
785.5,0.00011398
786,0.000147971
786.5,0.000135011
787,0.000115303
787.5,0.000122958
788,0.000215298
788.5,0.00022077
789,0.000180711
789.5,0.000233881
790,0.000214948
790.5,0.000264177
791,0.000240904
791.5,0.000317075
792,0.000321294
792.5,0.000460143
793,0.000468476
793.5,0.000488296
794,0.000423868
794.5,0.000504661
795,0.000602215
795.5,0.000604582
796,0.000583065
796.5,0.000446208
797,0.00056615
797.5,0.000556626
798,0.000466718
798.5,0.000425321
799,0.000406346
799.5,0.000320991
800,0.000234852
800.5,0.000257614
801,0.000231808
801.5,0.00022295
802,0.000186461
802.5,0.000206175
803,0.000194686
803.5,0.000167774
804,0.000154627
804.5,0.000164474
805,0.000107624
805.5,0.000119008
806,0.000134524
806.5,0.000110081
807,0.000115262
807.5,0.000115942
808,0.000113776
808.5,9.86423E-05
809,0.000105493
809.5,9.5E-05
810,9.5E-05
810.5,9.5E-05
811,9.5E-05
811.5,9.5E-05
812,0.000101841
812.5,9.5E-05
813,9.5E-05
813.5,9.5E-05
814,9.5E-05
814.5,0.000109264
815,0.00011974
815.5,0.00010911
816,0.000138615
816.5,0.000116215
817,0.000147908
817.5,0.000180688
818,0.000197578
818.5,0.000269816
819,0.000237589
819.5,0.00026649
820,0.00031971
820.5,0.000344593
821,0.000387037
821.5,0.000420357
822,0.000445196
822.5,0.00049842
823,0.000531129
823.5,0.000587626
824,0.000632998
824.5,0.000655946
825,0.000668591
825.5,0.00073015
826,0.000812306
826.5,0.000811737
827,0.000829491
827.5,0.000832991
828,0.000851188
828.5,0.000851882
829,0.000869002
829.5,0.000869558
830,0.000858075
830.5,0.000809833
831,0.000815051
831.5,0.000792939
832,0.00079746
832.5,0.00073159
833,0.000673487
833.5,0.000684616
834,0.000641935
834.5,0.000582822
835,0.000542145
835.5,0.000522901
836,0.000470241
836.5,0.000448644
837,0.000382188
837.5,0.000356414
838,0.000350685
838.5,0.000316016
839,0.000293622
839.5,0.000259885
840,0.000229201
840.5,0.000198128
841,0.000195721
841.5,0.000156189
842,0.000179466
842.5,0.000159617
843,0.000186065
843.5,0.000143129
844,0.00014659
844.5,0.000156807
845,0.000128659
845.5,0.000144449
846,0.000143844
846.5,0.000136663
847,0.000142308
847.5,0.000174582
848,0.000159301
848.5,0.000133426
849,0.000154273
849.5,0.000120242
850,0.000167658
850.5,0.000166929
851,0.000179308
851.5,0.000162226
852,0.000186743
852.5,0.000171277
853,0.000180052
853.5,0.000192448
854,0.000194857
854.5,0.000194618
855,0.000211659
855.5,0.000195907
856,0.000188465
856.5,0.000216657
857,0.000205842
857.5,0.00020837
858,0.000211566
