Lambda (nm),transmission
685.5,9.5E-05
686,9.5E-05
686.5,9.5E-05
687,9.5E-05
687.5,9.5E-05
688,9.5E-05
688.5,9.5E-05
689,0.000111722
689.5,0.00020739
690,0.000282515
690.5,0.000281956
691,0.00017782
691.5,0.000107551
692,9.5E-05
692.5,9.5E-05
693,9.5E-05
693.5,9.5E-05
694,9.5E-05
694.5,9.5E-05
695,9.5E-05
695.5,9.5E-05
696,9.5E-05
696.5,9.5E-05
697,9.5E-05
697.5,9.5E-05
698,9.5E-05
698.5,9.5E-05
699,9.5E-05
699.5,9.5E-05
700,9.5E-05
700.5,9.5E-05
701,9.5E-05
701.5,9.5E-05
702,9.5E-05
702.5,9.5E-05
703,9.5E-05
703.5,9.5E-05
704,9.5E-05
704.5,9.5E-05
705,9.5E-05
705.5,9.5E-05
706,9.5E-05
706.5,9.5E-05
707,0.000112864
707.5,0.000310205
708,0.000631025
708.5,0.000527667
709,0.00022287
709.5,9.5E-05
710,9.5E-05
710.5,9.5E-05
711,9.5E-05
711.5,9.5E-05
712,9.5E-05
712.5,9.5E-05
713,9.5E-05
713.5,9.5E-05
714,9.5E-05
714.5,9.5E-05
715,9.5E-05
715.5,9.5E-05
716,9.5E-05
716.5,9.5E-05
717,9.5E-05
717.5,9.5E-05
718,9.5E-05
718.5,9.5E-05
719,9.5E-05
719.5,9.5E-05
720,9.5E-05
720.5,9.5E-05
721,9.5E-05
721.5,9.5E-05
722,9.5E-05
722.5,9.5E-05
723,9.5E-05
723.5,9.5E-05
724,9.5E-05
724.5,9.5E-05
725,9.5E-05
725.5,9.5E-05
726,9.5E-05
726.5,9.5E-05
727,9.5E-05
727.5,0.000105417
728,0.000277206
728.5,0.000243357
729,0.000112564
729.5,9.5E-05
730,9.5E-05
730.5,9.5E-05
731,9.5E-05
731.5,9.5E-05
732,9.5E-05
732.5,9.5E-05
733,9.5E-05
733.5,9.5E-05
734,9.5E-05
734.5,9.5E-05
735,9.5E-05
735.5,9.5E-05
736,9.5E-05
736.5,9.5E-05
737,9.5E-05
737.5,9.5E-05
738,9.5E-05
738.5,9.5E-05
739,9.5E-05
739.5,9.5E-05
740,9.5E-05
740.5,9.5E-05
741,9.5E-05
741.5,9.5E-05
742,9.5E-05
742.5,9.5E-05
743,9.5E-05
743.5,9.5E-05
744,9.5E-05
744.5,9.5E-05
745,9.5E-05
745.5,9.5E-05
746,9.5E-05
746.5,0.000107303
747,9.5E-05
747.5,0.00011867
748,9.59596E-05
748.5,0.000100491
749,9.5E-05
749.5,9.5E-05
750,9.5E-05
750.5,9.5E-05
751,9.5E-05
751.5,9.57154E-05
752,0.000107107
752.5,0.000143265
753,0.000196838
753.5,0.000324947
754,0.000375987
754.5,0.000521085
755,0.000541438
755.5,0.000587887
756,0.000386759
756.5,0.000242601
757,0.000168003
757.5,9.5E-05
758,0.000108672
758.5,9.5E-05
759,9.5E-05
759.5,9.5E-05
760,9.5E-05
760.5,9.5E-05
761,9.5E-05
761.5,9.5E-05
762,9.5E-05
762.5,9.5E-05
763,9.5E-05
763.5,9.5E-05
764,9.5E-05
764.5,9.5E-05
765,9.5E-05
765.5,9.5E-05
766,9.5E-05
766.5,9.5E-05
767,9.5E-05
767.5,9.5E-05
768,9.5E-05
768.5,9.5E-05
769,9.5E-05
769.5,9.5E-05
770,9.5E-05
770.5,9.5E-05
771,9.5E-05
771.5,9.5E-05
772,9.5E-05
772.5,9.5E-05
773,9.5E-05
773.5,9.5E-05
774,9.5E-05
774.5,9.5E-05
775,9.5E-05
775.5,9.5E-05
776,9.5E-05
776.5,9.5E-05
777,9.5E-05
777.5,9.5E-05
778,9.5E-05
778.5,9.5E-05
779,9.5E-05
779.5,9.5E-05
780,9.5E-05
780.5,9.5E-05
781,9.5E-05
781.5,9.5E-05
782,9.5E-05
782.5,9.5E-05
783,0.000133737
783.5,0.000178891
784,0.000248599
784.5,0.000240568
785,0.000225941
785.5,0.000243336
786,0.000146992
786.5,0.000114204
787,9.5E-05
787.5,0.000164784
788,9.5E-05
788.5,9.5E-05
789,9.5E-05
789.5,9.5E-05
790,9.63831E-05
790.5,9.5E-05
791,0.000117942
791.5,0.000190444
792,0.000133849
792.5,0.000131105
793,0.000162915
793.5,0.000295059
794,0.00028635
794.5,0.000295527
795,0.000297165
795.5,0.000312358
796,0.000228111
796.5,0.000190035
797,0.000164445
797.5,9.5E-05
798,0.000113134
798.5,0.000164175
799,0.000216801
799.5,0.000210763
800,0.000235294
800.5,0.000246473
801,0.000257652
801.5,0.000245972
802,0.00023429
802.5,0.000258988
803,0.000283645
803.5,0.000264109
804,0.000244561
804.5,0.000265233
805,0.00028589
805.5,0.000269526
806,0.000253182
806.5,0.000241829
807,0.000230473
807.5,0.000227432
808,0.000224391
808.5,0.000224043
809,0.000223695
809.5,0.000198274
810,0.000172854
810.5,0.000162162
811,0.000151472
811.5,0.000169496
812,0.000187512
812.5,0.000152183
813,0.000116907
813.5,0.000113572
814,0.000110235
814.5,0.000103757
815,9.72824E-05
815.5,9.78729E-05
816,9.84629E-05
816.5,9.5E-05
817,9.5E-05
817.5,9.5E-05
818,9.5E-05
818.5,9.5E-05
819,9.5E-05
819.5,9.5E-05
820,9.5E-05
820.5,9.5E-05
821,9.5E-05
821.5,9.5E-05
822,9.5E-05
822.5,9.5E-05
823,9.5E-05
823.5,9.5E-05
824,9.5E-05
824.5,9.5E-05
825,9.5E-05
825.5,9.5E-05
826,9.5E-05
826.5,9.5E-05
827,9.5E-05
827.5,9.5E-05
828,9.5E-05
828.5,9.5E-05
