band,filter_id,facility,instrument,wavelength_eff,fwhm,mean_overlap,min_overlap,median_overlap,n_low_pairs,is_outlier
V,Subaru/Suprime.V_filter,Subaru,Suprime,5401.8,993.0,0.9631,0.7477,0.9743,0,False
V,LCO/CCD3x3.LC-3014,LCO,,5318.9,943.7,0.9641,0.7187,0.9813,0,False
V,Misc/MCPS.V,LCO,,5438.2,827.3,0.9643,0.7423,0.9764,0,False
V,NOT/StanCam.Bes_V,NOT,StanCam,5415.2,1033.5,0.9650,0.7091,0.9832,0,False
V,INT/WFC.V,INT,WFC,5418.9,976.9,0.9651,0.7223,0.9788,0,False
V,SAO/SCORPIO.V,SAO,SCORPIO,5418.8,792.4,0.9658,0.7730,0.9715,0,False
V,LCO/CSP.V_LC3014,LCO,SITe3,5353.2,980.2,0.9664,0.7252,0.9837,0,False
V,LCO/SITe3.V_LC3014,LCO,SITe3,5353.2,980.2,0.9664,0.7252,0.9837,0,False
V,LICK/LICK.V,LICK,,5336.1,859.4,0.9664,0.7354,0.9813,0,False
V,TNG/OIG.V,TNG,OIG,5332.1,930.3,0.9664,0.7271,0.9821,0,False
V,IAC80/TCP.V,IAC80,TCP,5316.8,861.1,0.9665,0.7317,0.9818,0,False
V,Scorpio/Johnson.V,Scorpio,,5419.6,792.4,0.9671,0.7722,0.9725,0,False
V,Misc/AndromedA.V,AndromedA,,5353.0,978.9,0.9672,0.7101,0.9869,0,False
V,TJO/MEIA.V,TJO,MEIA,5320.4,861.2,0.9673,0.7358,0.9825,0,False
V,TNG/TNG.TNG03,TNG,,5332.5,930.3,0.9675,0.7265,0.9837,0,False
V,TJO/MEIA2.V_filter,TJO,MEIA2,5340.5,907.5,0.9676,0.7284,0.9839,0,False
V,TJO/LAIA.V_filter,TJO,LAIA,5340.5,907.5,0.9676,0.7284,0.9839,0,False
V,LasCumbres/LasCumbres.Bessel_V,LasCumbres,,5324.1,839.8,0.9687,0.7411,0.9839,0,False
V,TJO/LAIA.V,TJO,LAIA,5345.5,907.0,0.9687,0.7326,0.9851,0,False
V,Keck/LRIS.V,Keck,LRIS,5403.6,948.1,0.9691,0.7276,0.9859,0,False
V,LCO/IMACS.Bessell_V1,LCO,IMACS,5378.8,919.8,0.9692,0.7359,0.9861,0,False
V,FLWO/KeplerCam.V_Harris,FLWO,KeplerCam,5379.6,995.6,0.9693,0.7194,0.9890,0,False
V,Integral/OMC.V,Integral,OMC,5434.9,988.0,0.9695,0.7304,0.9857,0,False
V,Integral/OMC.V_opt,Integral,OMC,5434.9,988.0,0.9695,0.7304,0.9857,0,False
V,Integral/OMC.V_filter,Integral,OMC,5426.2,976.8,0.9700,0.7298,0.9864,0,False
V,LCO/e2v.V,LCO,e2v,5350.4,886.2,0.9702,0.7416,0.9871,0,False
V,LCO/CSP2.V,LCO,Swope,5350.4,886.2,0.9702,0.7416,0.9871,0,False
V,CTIO/MosaicII.V,CTIO,MosaicII,5374.0,972.8,0.9703,0.7219,0.9913,0,False
V,McD/DIAFI.V,McDonalds,DIAFI,5335.3,834.5,0.9704,0.7448,0.9864,0,False
V,KPNO/Mosaic.V,KPNO,Mosaic,5366.2,945.2,0.9705,0.7230,0.9907,0,False
V,OSN/Johnson.V2,OSN,,5417.6,942.9,0.9706,0.7408,0.9833,0,False
V,OSN/Johnson.V,OSN,,5417.6,942.9,0.9707,0.7407,0.9834,0,False
V,CAHA/Astralux.V_filter,CAHA,Astralux,5372.1,930.5,0.9707,0.7285,0.9909,0,False
V,CTIO/SOI.bessel_V,CTIO,SOI,5338.2,810.7,0.9708,0.7502,0.9870,0,False
V,LBT/LBCR.bessel-V,LBT,LBC,5342.9,838.4,0.9708,0.7461,0.9869,0,False
V,CAHA/CAHA.536_90,CAHA,,5352.8,901.0,0.9709,0.7289,0.9910,0,False
V,LCO/CSP.V,LCO,SITe3,5358.2,886.6,0.9709,0.7481,0.9873,0,False
V,LCO/SITe3.V,LCO,SITe3,5358.2,886.6,0.9709,0.7481,0.9873,0,False
V,P200/LFC.V_filter,Palomar,LFC,5359.9,834.8,0.9710,0.7546,0.9865,0,False
V,Liverpool/RATCam.bessel-V,LT,RATCam,5351.8,911.1,0.9712,0.7314,0.9908,0,False
V,OSN/Circ.Johnson_V,OSN,,5387.3,878.4,0.9712,0.7443,0.9845,0,False
V,CAHA/Astralux.V_noatm,CAHA,Astralux,5375.6,930.8,0.9713,0.7306,0.9916,0,False
