Nova_Name,SIMBAD_Name,Input_Name,Nova_Aliases,Discovery_Date,Nova_Otypes,is_nova,is_recurrent,Peak_Mag,Filter,Uncertainty
V1583 Sgr,V1583 Sgr,V1583 Sgr,NOVA Sgr 1928|SV* HV 12320|V1583 Sgr,1928-07-24,No*|V*,True,False,,,False
HV Vir,HV Vir,HV Vir,Gaia DR3 3688359000015020800|AAVSO 1315+02|NOVA Vir 1929|NSV  6201|HV Vir|[DDM2009] CSS080227 J132103+015329|CRTS CSS080227 J132103+015329|2QZ J132103.1+015329|SDSS J132103.16+015329.1|CRTS J132103.2+015329|Gaia DR2 3688359000015020800|1eRASS J132102.4+015338,1929-02-01,*|CV*|CV?|No*|Opt|V*|WD*|WD?|X,True,False,,,False
V359 Cen,V359 Cen,V359 Cen,Gaia DR3 5380310174561335296|GSC2 S12200122477|NOVA Cen 1939|NOVA Cen 1930|USNO-A2.0 0450-13664185|V359 Cen|Gaia DR2 5380310174561335296,1930-04-20,*|CV*|No*|V*|WD*,True,False,,,False
V441 Sgr,V441 Sgr,V441 Sgr,AAVSO 1815-25A|CSI-25-18190|HD 315574|NOVA Sgr 1930|SV* HV  5486|V441 Sgr,1930-09-12,*|No*|V*,True,False,,,False
MT Cen,MT Cen,MT Cen,TIC 322239323|Gaia DR3 5335446762957428992|NOVA Cen 1931|MT Cen|2MASS J11440080-6033395|Gaia DR2 5335446762957428992,1931-05-09,*|NIR|No*|V*,True,False,,,False
V1905 Sgr,V1905 Sgr,V1905 Sgr,AAVSO 1827-25|NOVA Sgr 1932|V1905 Sgr,1932-06-14,No*|V*,True,False,,,False
CG CMa,CG CMa,CG CMa,TIC 80923771|Gaia DR3 2927639069777486464|2MASS J07040505-2345345|AAVSO 0659-23|NOVA CMa 1934|CG CMa|Gaia DR2 2927639069777486464|USNO-A2.0 0600-04772139,1934-01-12,*|CV*|NIR|No*|V*,True,False,,,False
BD Pav,BD Pav,BD Pav,TIC 120342455|Gaia DR3 6637401025693171200|AAVSO 1834-57|NOVA Pav 1934|SV* HV 10031|BD Pav|2MASS J18431191-5730448|Gaia DR2 6637401025693171200|1eRASS J184311.3-573046,1934-09-07,*|CV*|NIR|No*|V*|X,True,False,,,False
DQ Her,DQ Her,DQ Her,TIC 332624864|UCAC4 680-061811|WISE J180730.26+455132.6|WISEA J180730.25+455132.5|Gaia DR3 2116226254706461568|PLX 4164|SBC9 1029|2MASS J18073024+4551325|2RXP J180730.0+455136|AAVSO 1804+45|AN  452.1934|CSI+45-18061|EM* CDS  959|GCRV 10587|NOVA Her 1934|SBC7   665|DQ Her|1SWASP J180730.28+455131.9|WEB 15046|Gaia DR2 2116226254706461568,1934-12-12,*|CV*|EB*|Em*|MIR|NIR|No*|SB*|UV|V*|X,True,False,,,False
V726 Sgr,V726 Sgr,V726 Sgr,Gaia DR2 4052387577689335552|AN  118.1938|HD 315532|NOVA Sgr 1936 b|SV* HV  9380|V726 Sgr,1936-04-30,*|CV*|No*|V*,True,False,,,False
V732 Sgr,V732 Sgr,V732 Sgr,TIC 134567220|Gaia DR3 4063588238075660160|AN  225.1937|CSI-27-17530|HD 316633|NOVA Sgr 1936|NOVA Sgr 1936 a|V732 Sgr|2MASS J17560751-2722161|SSTGLMC G002.5297-01.1882|Gaia DR2 4063588238075660160,1936-06-10,*|CV*|MIR|NIR|No*|V*,True,False,,,False
